"","Date","A","B","C","Cash","Stocks","Bonds","Commodities"
"41","8/31/2017",0.006213689,0.023475345,0.0264,0.00109815,0.00306206226332817,0.00896547307648721,0.00403079033823639
"42","9/30/2017",0.005258147,-4.62e-05,-0.0162,0.001111575,0.0206277483828139,-0.00476025407550951,-0.00149080823186476
"43","10/31/2017",0.028377054,0.011650796,0.0397,0.00115101666666667,0.0233348404347817,0.000578868361409635,0.0214435998529081
"44","11/30/2017",0.006140283,0.011136828,0.004,0.00123948333333333,0.0306695481634451,-0.0012845404090911,-0.0046129255335513
"45","12/31/2017",0.007807888,0.005922146,0.0373,0.0014119,0.0111183526527323,0.00459003838941174,0.0298545728406252
"46","1/31/2018",0.054713741,0.034421507,0.0465,0.001481475,0.057253738902231,-0.0115179561858317,0.0198591665129269
"47","2/28/2018",0.023911794,-0.038229464,-0.0618,0.00168099166666667,-0.0368557902892463,-0.00947696262606246,-0.0172946259759936
"48","3/31/2018",-0.019482683,-0.004096693,-0.002,0.00192645833333333,-0.0254140378177459,0.00641335975204971,-0.00621489945768594
"49","4/30/2018",-0.008497987,-0.017703098,0.018,0.00196911666666667,0.00383709084723338,-0.00743870507022193,0.0258446963779597
"50","5/31/2018",0.005432062,-0.046740832,-0.0065,0.001934375,0.0240822331428223,0.00713472030697315,0.0141666616812139
"51","6/30/2018",0.023660416,-0.035082367,0.0205,0.00194645833333333,0.00615445365826139,-0.0012303051950624,-0.0349605385441654
"52","7/31/2018",-0.014359716,0.00925768,0.0022,0.00195713333333333,0.0372147872386157,0.000238416911705785,-0.0213426883218421
"53","8/31/2018",-0.028353682,-0.005082402,0.0129,0.00193395833333333,0.032584018623558,0.00643572223105049,-0.0177050896809556
"54","9/30/2018",0.014666148,0.004422164,-0.0019,0.00199865,0.0056920499755706,-0.00643897529012394,0.0191762656861383
"55","10/31/2018",0.061621743,-0.008716012,-0.0191,0.00213208333333333,-0.0683500421624665,-0.00790099668763999,-0.0215878057426446
"56","11/30/2018",-0.010933376,-0.007431798,0.0269,0.00228010833333333,0.0203780992235763,0.00596668268460698,-0.00563109869030842
"57","12/31/2018",0.092212269,-0.008958515,-0.03,0.00233969166666667,-0.0902898569240964,0.0183710839536639,-0.0688763627693261
"58","1/31/2019",-0.043,0.01570684,-0.0129,0.00228125,0.080134905762586,0.01062249584677,0.0544646200042325
"59","2/28/2019",-0.002,0.00796857,0.009,0.002179275,0.0321084472744226,-0.000580175406364569,0.0101241366042966
"60","3/31/2019",-0.00652156,0.0018,0.0184,0.00216645833333333,0.019431331650017,0.0192004411892766,-0.00178516426802966
